,Job_Title,Company_Name,data_time,seniority_level,employment_type,job_link
17,Data Scientist II,Breadfast,2024-06-25,Entry level,Full-time,https://eg.linkedin.com/jobs/view/data-scientist-ii-at-breadfast-3958908306?position=18&pageNum=0&refId=xrhhWLOavKpH6mtZ9W%2F1kw%3D%3D&trackingId=5DAL0AZuzKhu0OBFSTatMA%3D%3D&trk=public_jobs_jserp-result_search-card
18,Data Scientist,n.go,2024-05-20,Entry level,Full-time,https://eg.linkedin.com/jobs/view/data-scientist-at-n-go-3947879399?position=19&pageNum=0&refId=xrhhWLOavKpH6mtZ9W%2F1kw%3D%3D&trackingId=RRXEw4eBctEKTAsBNMDs%2Fg%3D%3D&trk=public_jobs_jserp-result_search-card
19,Artificial Intelligence Engineer,Rekrut by Talent 360,2024-07-28,Entry level,Full-time,https://eg.linkedin.com/jobs/view/artificial-intelligence-engineer-at-rekrut-by-talent-360-3986679400?position=20&pageNum=0&refId=xrhhWLOavKpH6mtZ9W%2F1kw%3D%3D&trackingId=zs%2BCtoNHc6w24fK0nQfeeg%3D%3D&trk=public_jobs_jserp-result_search-card
20,Junior Full-Stack Python Developer,Webenia,2024-05-07,Entry level,Full-time,https://eg.linkedin.com/jobs/view/junior-full-stack-python-developer-at-webenia-3996903831?position=21&pageNum=0&refId=xrhhWLOavKpH6mtZ9W%2F1kw%3D%3D&trackingId=7bjGD%2F7AvhgIZMW93%2B6JEA%3D%3D&trk=public_jobs_jserp-result_search-card
21,Senior Data Scientist,SSC Egypt,2024-05-29,Mid-Senior level,Full-time,https://eg.linkedin.com/jobs/view/senior-data-scientist-at-ssc-egypt-3918878265?position=22&pageNum=0&refId=xrhhWLOavKpH6mtZ9W%2F1kw%3D%3D&trackingId=2dRUzVxSmfneEn4psXT%2FwA%3D%3D&trk=public_jobs_jserp-result_search-card
22,Backend Python Developer – Data Science Background,Misr Technology Services,2024-07-29,Mid-Senior level,Full-time,https://eg.linkedin.com/jobs/view/backend-python-developer-%E2%80%93-data-science-background-at-misr-technology-services-3937932250?position=23&pageNum=0&refId=xrhhWLOavKpH6mtZ9W%2F1kw%3D%3D&trackingId=Jn9hXHllP%2F5fk01rEEEg3A%3D%3D&trk=public_jobs_jserp-result_search-card
23,"Innovation Hub I Senior AI / ML Engineer, Cairo, Egypt",Deloitte,2024-05-23,No job type available,No job type available,https://eg.linkedin.com/jobs/view/innovation-hub-i-senior-ai-ml-engineer-cairo-egypt-at-deloitte-3997754494?position=24&pageNum=0&refId=xrhhWLOavKpH6mtZ9W%2F1kw%3D%3D&trackingId=x5JXLu2tgfdkPHulBR8eoQ%3D%3D&trk=public_jobs_jserp-result_search-card
24,Senior Data Scientist,Advansys,2024-01-18,Mid-Senior level,Full-time,https://eg.linkedin.com/jobs/view/senior-data-scientist-at-advansys-3986961016?position=25&pageNum=0&refId=xrhhWLOavKpH6mtZ9W%2F1kw%3D%3D&trackingId=Lior4NPGWlqnYBQWqdldEA%3D%3D&trk=public_jobs_jserp-result_search-card
25,Head of Data Science,Limitless Labs Egypt,2024-05-07,Mid-Senior level,Full-time,https://eg.linkedin.com/jobs/view/head-of-data-science-at-limitless-labs-egypt-3997762839?position=26&pageNum=0&refId=xrhhWLOavKpH6mtZ9W%2F1kw%3D%3D&trackingId=w%2FFxN7Us2NaJbDc8pfAWPQ%3D%3D&trk=public_jobs_jserp-result_search-card
26,Data Analytics - Senior Data Scientist - Cairo,Infomineo,2024-08-01,Mid-Senior level,Full-time,https://eg.linkedin.com/jobs/view/data-analytics-senior-data-scientist-cairo-at-infomineo-3951153797?position=27&pageNum=0&refId=xrhhWLOavKpH6mtZ9W%2F1kw%3D%3D&trackingId=s%2FOET6xctlodNPyq805pLQ%3D%3D&trk=public_jobs_jserp-result_search-card
27,Staff Data Scientist,Breadfast,2024-03-15,Entry level,Full-time,https://eg.linkedin.com/jobs/view/staff-data-scientist-at-breadfast-3808253013?position=28&pageNum=0&refId=xrhhWLOavKpH6mtZ9W%2F1kw%3D%3D&trackingId=Yywk9RExW4gNy0Fpp8Ac%2BA%3D%3D&trk=public_jobs_jserp-result_search-card
28,Lead Data Scientist,SSC Egypt,2024-08-07,Mid-Senior level,Full-time,https://eg.linkedin.com/jobs/view/lead-data-scientist-at-ssc-egypt-3918876380?position=29&pageNum=0&refId=xrhhWLOavKpH6mtZ9W%2F1kw%3D%3D&trackingId=eu1ygtN8rcaPBNgTDwk18g%3D%3D&trk=public_jobs_jserp-result_search-card
